text,y
"bonsoir, mba mtady trano moramora nefa tsara manodidina an'ampefiloa , andavamamba, 67ha",1.0
ok hojerevana akaiky enao merci,0.0
,1.0
ok. merci.,1.0
"le trano tsy maninona na kely, na une pièce fotsini fa misy jiro sy rano, prix entre 400 à 450 000 fmg",1.0
Bonjour!so de mahita mba mahita trano eo analakely nareo na manodidina mahamasina?,1.0
9:48,0.0
TranoAhofa.com,0.0
bjr hipetrahana sa usage c/cial?,0.0
Envoyé par Andry Soamamy,0.0
Nata Ny Aina Rlmbs,0.0
Nata,0.0
Bnjr! Efa nahita fa merci beaucoup,0.0
"Bonjour, mitady trano ahofa quartier Ankadivato, Antsahabe, Ampandrana, Tsiadana, Ankorahotra. minimum 2 chambres, SDE, Cuisine (optionnelle), parking sécurisé (idéal raha bord de route) fa hatao bureau. Budget max: 700 000Ar Merci",1.0
TranoAhofa.com,0.0
"Bonjour, misy vitsivitsy ao, fa @ Zoma vao afaka maka sary izahay dia alefako eto aminao eto.Envoyé par Mendrika Ramarlina",0.0
RZnh Zix,0.0
Zix,0.0
"D'accord, merci",0.0
bjr eny antsahabe misy 3chb bdr 1er etage parking 4M_fmg afaka manao visite f miantso mialoha fotsiny tel0348266839 mr Andry (mialatsiny.f ts nahazo sary izahay merciEnvoyé par Andry Soamamy,0.0
RZnh Zix,0.0
Zix,0.0
"Bsr, merci bcp! Ho jereko io @ semaine iny. Mila miantso 1jour a l'avance mitsy v sa mety oe maraina miantso de hariva ny visite?",0.0
9:43,0.0
1h avant d mety merci,0.0
Bonjour aiza kay no agrence ahitana anareo,1.0
SAM 14:40,0.0
,0.0
TranoAhofa.com,0.0
eny AntsakaviroSeen by Nolan Seth at Dimanche 14:27,0.0
Envoyé par Andry Soamamy,0.0
DIM 14:28,0.0
,0.0
Nolan Seth,0.0
Nolan,0.0
Aiza ho aiza eny kay azafady,1.0
,0.0
Bjr,0.0
Très urgent,0.0
"Mitady trano/ local pour bureau à Sambava, construction en dure, confort 4 à  6 bureaux selon superficie + salle de reunion+ toilettes interieures",1.0
"Mitady maika maisons pour habitation ihany koa sambava, sécurisé, confort",1.0
2 à 3 pièces + cuisine+ wc/douche interieure,1.0
Iholy Rasendrarivo,1.0
Iholy,1.0
Merci,1.0
,1.0
,1.0
Bjr. Mitady trano hofaina habitation. Mety ra efitra 1 lehibe manondidina rasalama/ ankadifotsy/ antanimena na eo 67 akaikn poste . wc s douche int. Budget: entre 100.000 à 160.000 ariary. Merci,0.0
SAM 14:43,0.0
ok misy eo antsakaviro 1chb semi-conf park bdr750000Seen by Momo Jo Nadhir at Samedi 16:17,0.0
Momo Jo Nadhir,0.0
Momo,0.0
Tokana le wc s douche d intérieur ?,1.0
,1.0
,1.0
Bonjour zah mba  mitady trano! Efitra 1 na 2 ao anatiny ao ny  WC sy douche ary lakozy! misy rano sy  jiro! A partir 100000 a 200000 eo amin'ny volagna ambony io no ilako azy ny  toerana mety amiko andravoangy besarety betongolo!! Atao akaiky ny  route! na harabe en sécurité tompoko! numéro téléphone 0334320593 matoky NY fiaraha miasa tompoko!!!! marihana fa jiro tsy miandry amin'olona raha mety!!!,1.0
SAM 14:33,0.0
ok !f hojerana f somary sarotra iany satria le budget somary latsaka ian.mety mahita f studio agamba f rah 2chb n tsy d mis f miantso izahay rehf misy f hoento ambavaka merci tel0349166839Envoyé par Andry Soamamy,0.0
SAM 15:43,0.0
Noelisa Razafimahitasoa,0.0
Noelisa,0.0
Merci d'avance anao ary eer,0.0
Mitady trano ahofa ankadifotsy ra mahita azafady,1.0
SAM 14:11,0.0
,0.0
TranoAhofa.com,0.0
otrinona? d apprt v sa villa n ilainao?,0.0
Bonsoir sao dia misy trano ahofa partie ivandry iny,1.0
